step,type,pos_r,pos_c,pos_dr,pos_dc
0,3,15,15,0,0
1,0,14,15,-1,0
1,1,7,1,0,0
2,0,13,15,-1,0
3,0,12,15,-1,0
4,0,11,15,-1,0
5,0,10,15,-1,0
6,0,9,15,-1,0
7,0,8,15,-1,0
8,0,7,15,-1,0
9,0,7,14,0,-1
10,0,7,13,0,-1
11,0,7,12,0,-1
12,0,7,11,0,-1
13,0,7,10,0,-1
14,0,7,9,0,-1
15,0,7,8,0,-1
16,0,7,7,0,-1
17,0,7,6,0,-1
18,0,7,5,0,-1
19,0,7,4,0,-1
20,0,7,3,0,-1
21,0,7,2,0,-1
22,1,2,11,0,0
22,2,7,1,0,-1
23,0,7,0,0,-1
24,0,8,0,1,0
25,0,8,1,0,1
26,0,8,2,0,1
27,0,8,3,0,1
28,0,8,4,0,1
29,0,8,5,0,1
30,0,8,6,0,1
31,0,7,6,-1,0
32,0,6,6,-1,0
33,0,5,6,-1,0
34,0,4,6,-1,0
35,0,3,6,-1,0
36,0,2,6,-1,0
37,0,2,7,0,1
38,0,2,8,0,1
39,0,2,9,0,1
40,0,2,10,0,1
41,1,13,26,0,0
41,2,2,11,0,1
42,0,2,12,0,1
43,0,2,13,0,1
44,0,2,14,0,1
45,0,3,14,1,0
46,0,4,14,1,0
47,0,5,14,1,0
48,0,6,14,1,0
49,0,6,15,0,1
50,0,6,16,0,1
51,0,6,17,0,1
52,0,6,18,0,1
53,0,6,19,0,1
54,0,6,20,0,1
55,0,6,21,0,1
56,0,6,22,0,1
57,0,6,23,0,1
58,0,6,24,0,1
59,0,6,25,0,1
60,0,6,26,0,1
61,0,7,26,1,0
62,0,8,26,1,0
63,0,9,26,1,0
64,0,10,26,1,0
65,0,11,26,1,0
66,0,12,26,1,0
67,1,6,26,0,0
67,2,13,26,1,0
68,0,14,26,1,0
69,0,14,25,0,-1
70,0,14,24,0,-1
71,0,14,23,0,-1
72,0,14,22,0,-1
73,0,14,21,0,-1
74,0,13,21,-1,0
75,0,12,21,-1,0
76,0,11,21,-1,0
77,0,10,21,-1,0
78,0,9,21,-1,0
79,0,8,21,-1,0
80,0,7,21,-1,0
81,0,6,21,-1,0
82,0,6,22,0,1
83,0,6,23,0,1
84,0,6,24,0,1
85,0,6,25,0,1
86,1,26,7,0,0
86,2,6,26,0,1
87,0,6,27,0,1
88,0,7,27,1,0
89,0,8,27,1,0
90,0,9,27,1,0
91,0,10,27,1,0
92,0,10,26,0,-1
93,0,10,25,0,-1
94,0,10,24,0,-1
95,0,10,23,0,-1
96,0,10,22,0,-1
97,0,10,21,0,-1
98,0,10,20,0,-1
99,0,10,19,0,-1
100,0,10,18,0,-1
101,0,10,17,0,-1
102,0,10,16,0,-1
103,0,10,15,0,-1
104,0,10,14,0,-1
105,0,10,13,0,-1
106,0,10,12,0,-1
107,0,10,11,0,-1
108,0,10,10,0,-1
109,0,10,9,0,-1
110,0,10,8,0,-1
111,0,11,8,1,0
112,0,12,8,1,0
113,0,13,8,1,0
114,0,14,8,1,0
115,0,15,8,1,0
116,0,16,8,1,0
117,0,17,8,1,0
118,0,18,8,1,0
119,0,19,8,1,0
120,0,19,7,0,-1
121,0,20,7,1,0
122,0,21,7,1,0
123,0,22,7,1,0
124,0,23,7,1,0
125,0,24,7,1,0
126,0,25,7,1,0
127,1,14,20,0,0
127,2,26,7,1,0
128,0,26,8,0,1
129,0,26,9,0,1
130,0,26,10,0,1
131,0,26,11,0,1
132,0,26,12,0,1
133,0,26,13,0,1
134,0,26,14,0,1
